Name,Age,Characteristic
"Luke Skywalker",53,"Jedi Knight"
Darth Vader,45,Sith Lord
Leia Organa,53,Rebel Leader
Han Solo,66,Smuggler
Obi-Wan Kenobi,57,Jedi Master
Yoda,900,Grand Master
Chewbacca,200,Wookiee Warrior
R2-D2,33,Astromech Droid
C-3PO,112,Protocol Droid
Padmé Amidala,27,Queen of Naboo
Qui-Gon Jinn,48,Jedi Master
Mace Windu,53,Jedi Master
Boba Fett,32,Bounty Hunter
Ahsoka Tano,45,Jedi Padawan
Lando Calrissian,55,Gambler
Rey Skywalker,19,Jedi
Kylo Ren,29,Supreme Leader
Finn,23,Stormtrooper defector
Poe Dameron,32,Resistance Pilot
Darth Maul,54,Sith Assassin
